,Date,PPSpotAvgPrice,OilAvgPrice,PPImport,PPExport,ExchangeRate,PPFuture,OilFuture
488,2018-05-27,,,,,6.3867,9173,3765
489,2018-06-03,,,,,6.4078,9244,3748
490,2018-06-10,,,,,6.4003,9302,3748
491,2018-06-17,,,,,6.4306,9262,3748
492,2018-06-24,,,,,6.4804,,
493,2018-07-01,,,,,6.6166,9198,
494,2018-07-08,,,,,6.6336,9103,
495,2018-07-15,,,,,6.6727,9320,
496,2018-07-22,,,,,6.7671,9338,2980
497,2018-07-29,,,,,6.7942,9475,3131
498,2018-08-05,,,,,6.8322,9925,3135
499,2018-08-12,,,,,6.8395,10145,3184
500,2018-08-19,,,,,6.8894,10012,3015
501,2018-08-26,,,,,6.871,9748,3135
502,2018-09-02,,,,,6.8246,9799,3188
503,2018-09-09,,,,,6.8212,9832,3092
504,2018-09-16,,,,,6.8362,9798,3134
505,2018-09-23,,,,,6.8357,10052,3175
506,2018-09-30,,,,,6.8792,,
507,2018-10-14,,,,,6.912000000000001,10406,3470
508,2018-10-21,,,,,6.9387,10179,3452
509,2018-10-28,,,,,6.9510000000000005,9886,3462
510,2018-11-04,,,,,6.9371,9764,3387
511,2018-11-11,,,,,6.9329,9720,3431
